ÁLMOMBAN	VIZSGÁZNI
az	éhes
éhes	állatok
állatok	,
,	a
a	fogatok
fogatok	és
és	gépek
gépek	állandó
állandó	igénybevétele
igénybevétele	szükségszerûen
szükségszerûen	hajtja
hajtja	õket
õket	;
;	az
az	erejük
erejük	teljében
teljében	levõ
levõ	férfiak
férfiak	szabad
szabad	idejét
idejét	télen-nyáron
télen-nyáron	alig
alig	lehet
lehet	tetten
tetten	érni
érni	,
,	nincsenek
nincsenek	annyian
annyian	,
,	hogy
hogy	váltásuk
váltásuk	szóba
szóba	jöhetne
jöhetne	.
.	Köznapjaik
Köznapjaik	szórakozási
szórakozási	lehetõsége
lehetõsége	a
a	beszélgetés
beszélgetés	,
,	ami
ami	a
a	munkától
munkától	egészen
egészen	a
a	kapuig
kapuig	folytatódik
folytatódik	,
,	amikor
amikor	egymástól
egymástól	elválnak
elválnak	az
az	esti
esti	sötétben
sötétben	.
.	A
A	parasztság
parasztság	most
most	alakul
alakul	át
át	társalgó
társalgó	osztállyá
osztállyá	,
,	mióta
mióta	közösségben
közösségben	dolgozik
dolgozik	.
.	A
A	magángazdálkodás
magángazdálkodás	magányos
magányos	munkáiból
munkáiból	eredõ
eredõ	szûkszavúsága
szûkszavúsága	rendszeres
rendszeres	beszélgetésben
beszélgetésben	oldódik
oldódik	fel
fel	,
,	és
és	elvesztik
elvesztik	ünnepélyességüket
ünnepélyességüket	a
a	régi
régi	alkalmak
alkalmak	a
a	kapu
kapu	elõtt
elõtt	,
,	a
a	mise
mise	után
után	,
,	a
a	boltban
boltban	,
,	a
a	kocsmában
kocsmában	:
:	csak
csak	a
a	faluról
faluról	elszakadtak
elszakadtak	megjelenése
megjelenése	,
,	a
a	régi
régi	társalgási
társalgási	helyeken
helyeken	való
való	feltûnése
feltûnése	hozza
hozza	vissza
vissza	az
az	elveszett
elveszett	hangulatot
hangulatot	.
.	Csak
Csak	az
az	öregek
öregek	õrzik
õrzik	még
még	,
,	az
az	otthoni
otthoni	magányosok
magányosok	,
,	akiknek
akiknek	esemény
esemény	a
a	találkozás
találkozás	korabelijükkel
korabelijükkel	,
,	mert
mert	bármennyire
bármennyire	sok
sok	a
a	szabad
szabad	idejük
idejük	,
,	bezárkózva
bezárkózva	élnek
élnek	,
,	legtöbbször
legtöbbször	bóbiskolva
bóbiskolva	,
,	a
a	rádió
rádió	híreit
híreit	hallgatva
hallgatva	,
,	s
s	korán
korán	ágyba
ágyba	bújva
bújva	az
az	összemosódó
összemosódó	napok
napok	folyamatában
folyamatában	...
...	Ez
Ez	az
az	én
én	falum
falum	,
,	mondom
mondom	,
,	ahogyan
ahogyan	látom
látom	,
,	ahogyan
ahogyan	látni
látni	engedte
engedte	magát
magát	.
.	Csak
Csak	szemlélõje
szemlélõje	,
,	de
de	közvetlen
közvetlen	megváltoztatója
megváltoztatója	nem
nem	lehetek
lehetek	.
.	Az
Az	utolsó
utolsó	alkalomnak
alkalomnak	is
is	öt-hat
öt-hat	éve
éve	már
már	,
,	mikor
mikor	munkaegységeimet
munkaegységeimet	odaraktam
odaraktam	apámé
apámé	mellé
mellé	aratással
aratással	,
,	kévehányással
kévehányással	,
,	amikor
amikor	megvolt
megvolt	a
a	munkámat
munkámat	megilletõ
megilletõ	helyem
helyem	ebben
ebben	a
a	közösségben
közösségben	.
.	Nyugtalanít
Nyugtalanít	tehetetlenségem
tehetetlenségem	,
,	ez
ez	a
a	nyugtalanság
nyugtalanság	késztetett
késztetett	erre
erre	az
az	írásra
írásra	is
is	.
.	Nemcsak
Nemcsak	tükröt
tükröt	akarok
akarok	mutatni
mutatni	,
,	bár
bár	makacsul
makacsul	törekedtem
törekedtem	arra
arra	,
,	hogy
hogy	ne
ne	legyen
legyen	hasonló
hasonló	az
az	elvarázsolt
elvarázsolt	kastély
kastély	tükréhez
tükréhez	,
,	s
s	az
az	elhagyott
elhagyott	házak
házak	homályos
homályos	és
és	elszomorító
elszomorító	ablakaihoz
ablakaihoz	sem
sem	.
.	Egy
Egy	lehetõségem
lehetõségem	maradt
maradt	még
még	,
,	a
a	jó
jó	szándékú
szándékú	tanács
tanács	,
,	melyet
melyet	a
a	mûvelõdésre
mûvelõdésre	,
,	az
az	ismerõsebb
ismerõsebb	területre
területre	bátorkodom
bátorkodom	irányítani
irányítani	.
.	Jó
Jó	lenne
lenne	korosztályonként
korosztályonként	megtalálni
megtalálni	a
a	módját
módját	,
,	mire
mire	van
van	szüksége
szüksége	az
az	ifjúságnak
ifjúságnak	,
,	a
a	középkorú
középkorú	férfiaknak
férfiaknak	,
,	a
a	nõknek
nõknek	és
és	az
az	öregeknek
öregeknek	.
.	Az
Az	ifjúság
ifjúság	az
az	élet
élet	legmozgalmasabb
legmozgalmasabb	korszakát
korszakát	éli
éli	,
,	adjunk
adjunk	nekik
nekik	nagyobb
nagyobb	teret
teret	az
az	öntevékenységre
öntevékenységre	,
,	kevesen
kevesen	vannak
vannak	,
,	de
de	kevés
kevés	létszámmal
létszámmal	,
,	ma
ma	már
már	az
az	irodalom
irodalom	s
s	a
a	népmûvelési
népmûvelési	formák
formák	bõsége
bõsége	alkalmat
alkalmat	teremthet
teremthet	erre
erre	,
,	akadhat
akadhat	néhány
néhány	fiatal
fiatal	,
,	aki
aki	a
a	mûveltség
mûveltség	közvetítõjévé
közvetítõjévé	válhat
válhat	a
a	többiek
többiek	számára
számára	is
is	.
.	Használjuk
Használjuk	ki
ki	a
a	középkorú
középkorú	férfiak
férfiak	gazdálkodás
gazdálkodás	és
és	politika
politika	,
,	a
a	nõk
nõk	egészségügyi
egészségügyi	témák
témák	iránti
iránti	fogékonyságát
fogékonyságát	,
,	de
de	vigyázzunk
vigyázzunk	az
az	elõadókra
elõadókra	,
,	a
a	nép
nép	lelkiállapotát
lelkiállapotát	tiszteletben
tiszteletben	tartó
tartó	elõadókra
elõadókra	lenne
lenne	nagy
nagy	szükség
szükség	.
.	Az
Az	öregek
öregek	hagyománytiszteletére
hagyománytiszteletére	és
és	az
az	iskolások
iskolások	tananyagon
tananyagon	kívüli
kívüli	újdonság
újdonság	igényére
igényére	honismereti
honismereti	népmûvelés
népmûvelés	épülhetne
épülhetne	.
.	Ne
Ne	erõszakoljuk
erõszakoljuk	a
a	háromarcú
háromarcú	falu
falu	egységesítését
egységesítését	mindenáron
mindenáron	,
,	ha
ha	a
a	papok
papok	három
három	templomban
templomban	tudnak
tudnak	misét
misét	szolgáltatni
szolgáltatni	,
,	miért
miért	ne
ne	lehetne
lehetne	a
a	mûvelõdés
mûvelõdés	területén
területén	egészséges
egészséges	versengés
versengés	a
a	három
három	községrész
községrész	között
között	,
,	ha
ha	bizalmatlanság
bizalmatlanság	van
van	még
még	,
,	azt
azt	nem
nem	kívül
kívül	álló
álló	tényezõkkel
tényezõkkel	lehet
lehet	eloszlatni
eloszlatni	.
.	A
A	járási
járási	pártbizottságon
pártbizottságon	mondták
mondták	,
,	ebben
ebben	a
a	községben
községben	bármilyen
bármilyen	rendezvény
rendezvény	,
,	elõadás
elõadás	,
,	vita
vita	szervezõdik
szervezõdik	,
,	mindig
mindig	a
a	szövetkezet
szövetkezet	ügyeinek
ügyeinek	panaszos
panaszos	kiteregetésébe
kiteregetésébe	torkollik
torkollik	.
.	Talán
Talán	nem
nem	kellene
kellene	félni
félni	ettõl
ettõl	,
,	alkalmat
alkalmat	kellene
kellene	találni
találni	a
a	vitára
vitára	,
,	ha
ha	nem
nem	téeszülésen
téeszülésen	,
,	hát
hát	a
a	kultúrházban
kultúrházban	,
,	akár
akár	egy
egy	mezõgazdasági
mezõgazdasági	elõadás
elõadás	"
"	ürügyén
ürügyén	"
"	.
.	Ha
Ha	gazdasági
gazdasági	problémákat
problémákat	nem
nem	is
is	old
old	meg
meg	,
,	de
de	javítja
javítja	a
a	közérzetet
közérzetet	,
,	ezáltal
ezáltal	közvetve
közvetve	hatással
hatással	lehet
lehet	a
a	termelésre
termelésre	,
,	amikor
amikor	egy
egy	elõadás
elõadás	,
,	vita
vita	lehetõvé
lehetõvé	teszi
teszi	az
az	emberek
emberek	szabad
szabad	okfejtését
okfejtését	.
.	Persze
Persze	az
az	elõadónak
elõadónak	rendelkeznie
rendelkeznie	kell
kell	lélektani
lélektani	és
és	népismerettel
népismerettel	,
,	kellõ
kellõ	hajlékonysággal
hajlékonysággal	.
.	Nem
Nem	feledkeznék
feledkeznék	meg
meg	a
a	legfontosabbról
legfontosabbról	,
,	itt
itt	a
a	kultúrának
kultúrának	elsõsorban
elsõsorban	közérzetváltoztató
közérzetváltoztató	szerepe
szerepe	az
az	elsõrendû
elsõrendû	,
,	hogy
hogy	azáltal
azáltal	jobban
jobban	érezzék
érezzék	magukat
magukat	ebben
ebben	az
az	átmeneti
átmeneti	korban
korban	.
.	A
A	fejlõdés
fejlõdés	nemegyszer
nemegyszer	a
a	boldogság
boldogság	ellen
ellen	tör
tör	idõlegesen
idõlegesen	,
,	ami
ami	az
az	öregeknél
öregeknél	a
a	hátralevõ
hátralevõ	élet
élet	,
,	a
a	gyereknél
gyereknél	a
a	jövõre
jövõre	hatással
hatással	levõ
levõ	élmény
élmény	,
,	a
a	tetterõs
tetterõs	felnõtteknél
felnõtteknél	a
a	hit
hit	,
,	az
az	erkölcs
erkölcs	és
és	az
az	ízlés
ízlés	torzulását
torzulását	okozó
okozó	,
,	az
az	emberi
emberi	megvalósulást
megvalósulást	hátráltató
hátráltató	vagy
vagy	kisiklató
kisiklató	korszak
korszak	is
is	lehet
lehet	.
.	ESÕT
ESÕT	KÍVÁNOK
KÍVÁNOK	A
A	száraz
száraz	föld
föld	öregek
öregek	bõréhez
bõréhez	hasonlít
hasonlít	;
;	csontokra
csontokra	horpad
horpad	,
,	szõrzete
szõrzete	megfakul
megfakul	,
,	õsz
õsz	lesz
lesz	és
és	sárgásvörös
sárgásvörös	.
.	A
A	száraz
száraz	föld
föld	elõtûnik
elõtûnik	a
a	növények
növények	alól
alól	,
,	így
így	könyörög
könyörög	,
,	zöldjei
zöldjei	zsugorodásával
zsugorodásával	esdekel
esdekel	,
,	kiszáradt
kiszáradt	tüskéivel
tüskéivel	és
és	torzsaival
torzsaival	mered
mered	fölfelé
fölfelé	:
:	esõt
esõt	!
!	esõt
esõt	!
!	Fölszállna
Fölszállna	panaszra
panaszra	az
az	égbe
égbe	,
,	de
de	kõnehéz
kõnehéz	,
,	s
s	az
az	ég
ég	elhagyott
elhagyott	maga
maga	is
is	:
:	a
a	nap
nap	fehér
fehér	sivataga
sivataga	.
.	A
A	földmûves
földmûves	föltöri
föltöri	a
a	csonthéjat
csonthéjat	,
,	vaksárga
vaksárga	csírákat
csírákat	talál
talál	,
,	öngyilkosságra
öngyilkosságra	visszafordult
visszafordult	csúcsokat
csúcsokat	,
,	s
s	újra
újra	ültet
ültet	szomorúan
szomorúan	.
.	A
A	palánták
palánták	kis
kis	földfészke
földfészke	,
,	mint
mint	a
a	beton
beton	,
,	elalél
elalél	benne
benne	a
a	paprikacsecsemõ
paprikacsecsemõ	.
.	Erõlködik
Erõlködik	a
a	kukacért
kukacért	járó
járó	madár
madár	,
,	csõre
csõre	kicsorbulva
kicsorbulva	visszapattan
visszapattan	,
,	nem
nem	bújik
bújik	ki
ki	zsákmányért
zsákmányért	a
a	vakond
vakond	,
,	hogy
hogy	a
a	gilisztát
gilisztát	hátára
hátára	illesztve
illesztve	ebédelni
ebédelni	visszabújjon
visszabújjon	.
.	Mi
Mi	meg
meg	,
,	fehérbõrûek
fehérbõrûek	,
,	áldjuk
áldjuk	a
a	fényt
fényt	.
.	Száraz
Száraz	zöldövezetbe
zöldövezetbe	vágyakozunk
vágyakozunk	.
.	Hallgatjuk
Hallgatjuk	az
az	idõjárás
idõjárás	híreit
híreit	,
,	melyekben
melyekben	csak
csak	a
a	mi
mi	ügyeinkre
ügyeinkre	várunk
várunk	feleletet
feleletet	:
:	elmossa
elmossa	,
,	vagy
vagy	nem
nem	mossa
mossa	el
el	...
...	S
S	a
a	földmûves
földmûves	,
,	maga
maga	a
a	föld
föld	,
,	néz
néz	az
az	esõk
esõk	kapuja
kapuja	felé
felé	,
,	északnyugatra
északnyugatra	,
,	a
a	hegy
hegy	északi
északi	válla
válla	iránt
iránt	.
.	Esõre
Esõre	gondolunk
gondolunk	,
,	s
s	két
két	táborra
táborra	oszlik
oszlik	a
a	világ
világ	:
:	egyik
egyik	felén
felén	a
a	kenyértermelõk
kenyértermelõk	,
,	a
a	másikon
másikon	,
,	akiknek
akiknek	a
a	kenyér
kenyér	természetes
természetes	.
.	Ezt
Ezt	a
a	megosztottságot
megosztottságot	kiskorom
kiskorom	óta
óta	érzem
érzem	.
.	Kiszakadásom
Kiszakadásom	egyik
egyik	jele
jele	volt
volt	.
.	Legtöbbször
Legtöbbször	nem
nem	akkor
akkor	akartam
akartam	,
,	amikor
amikor	apám
apám	.
.	Óhajunk
Óhajunk	sem
sem	egy
egy	cél
cél	miatt
miatt	találkozott
találkozott	.
.	Én
Én	a
a	pihenés
pihenés	miatt
miatt	vártam
vártam	.
.	"
"	Esõ
Esõ	lesz
lesz	"
"	-
-	mondtam
mondtam	örömmel
örömmel	.
.	Jólesett
Jólesett	egy
egy	fél
fél	délután
délután	tartó
tartó	szünet
szünet	is
is	,
,	még
még	jobban
jobban	a
a	hetes
hetes	esõ
esõ	.
.	"
"	Jó
Jó	hetes
hetes	esõ
esõ	,
,	jól
jól	megáztatja
megáztatja	a
a	földet
földet	"
"	-
-	mondták
mondták	.
.	"
"	Jó
Jó	hetes
hetes	esõ
esõ	,
,	lehet
lehet	aludni
aludni	,
,	olvasni
olvasni	,
,	barátokhoz
barátokhoz	járni
járni	"
"	-
-	gondoltam
gondoltam	én
én	,
,	mert
mert	bûn
bûn	lett
lett	volna
volna	kimondanom
kimondanom	.
.	Vézna
Vézna	gyerekkarjaimmal
gyerekkarjaimmal	kellett
kellett	kaszálnom
kaszálnom	,
,	normában
normában	kévét
kévét	dobálnom
dobálnom	,
,	s
s	borral
borral	itattak
itattak	,
,	hogy
hogy	bírjam
bírjam	.
.	Éjjel
Éjjel	félálomban
félálomban	hánykolódtam
hánykolódtam	,
,	úgy
úgy	folytattam
folytattam	a
a	meghajlást
meghajlást	,
,	karnyújtást
karnyújtást	,
,	húzást
húzást	tovább
tovább	.
.	Esõk
Esõk	nélkül
nélkül	mi
mi	lett
lett	volna
volna	velem
velem	?
?	Kiszáradtam
Kiszáradtam	,
,	megszakadtam
megszakadtam	volna
volna	én
én	is
is	.
.	Ázzanak
Ázzanak	be
be	,
,	csírásodjanak
csírásodjanak	ki
ki	búzakeresztjeim
búzakeresztjeim	,
,	befülledve
befülledve	penészedjenek
penészedjenek	meg
meg	a
a	boglyák
boglyák	!
!	Sokat
Sokat	aludni
aludni	,
,	elolvasni
elolvasni	hosszú
hosszú	regényeket
regényeket	,
,	vizes
vizes	réten
réten	futballozni
futballozni	-
-	ezt
ezt	hozta
hozta	az
az	én
én	drága
drága	esõm
esõm	.
.	Hozta
Hozta	,
,	bár
bár	jött
jött	mennydörgéssel
mennydörgéssel	.
.	Vasszerszámaimat
Vasszerszámaimat	eldobva
eldobva	kellett
kellett	menekülnöm
menekülnöm	a
a	legközelebbi
legközelebbi	házig
házig	,
,	vízözönben
vízözönben	,
,	bõrig
bõrig	ázva
ázva	,
,	esendõen
esendõen	,
,	mint
mint	a
a	bevizelt
bevizelt	kisgyerekek
kisgyerekek	.
.	De
De	elvonulása
elvonulása	után
után	ránk
ránk	hagyta
hagyta	a
a	megmosdatott
megmosdatott	világot
világot	,
,	a
a	nagy
nagy	láthatárt
láthatárt	a
a	Bakonytól
Bakonytól	az
az	Alpokig
Alpokig	,
,	nyugaton
nyugaton	a
a	Fehér-hegyig
Fehér-hegyig	,
,	ahonnan
ahonnan	száz-kilométerek
száz-kilométerek	távolából
távolából	szikrázott
szikrázott	a
a	hó
hó	.
.	Megláttatta
Megláttatta	velünk
velünk	,
,	milyen
milyen	magas
magas	az
az	ég
ég	:
:	elfoszlott
elfoszlott	felhõk
felhõk	közt
közt	végtelen
végtelen	.
.	Roppant
Roppant	uralkodásától
uralkodásától	reszketõ
reszketõ	idegeinket
idegeinket	szivárvánnyal
szivárvánnyal	nyugtatta
nyugtatta	meg
meg	,
,	rózsaszín
rózsaszín	gilisztákkal
gilisztákkal	,
,	ezüstnyomú
ezüstnyomú	csigákkal
csigákkal	,
,	gõzölgõ
gõzölgõ	fürjekkel
fürjekkel	és
és	nyulakkal
nyulakkal	népesítette
népesítette	be
be	útjainkat
útjainkat	.
.	Fölszabadított
Fölszabadított	,
,	érzékeny
érzékeny	lettem
lettem	és
és	szabad
szabad	.
.	Esõben
Esõben	csak
csak	egyszer
egyszer	dühöngtem
dühöngtem	igazán
igazán	.
.	Az
Az	az
az	eset
eset	a
a	parasztok
parasztok	és
és	az
az	én
én	gondolkodásom
gondolkodásom	közötti
közötti	különbség
különbség	legpontosabb
legpontosabb	kifejezése
kifejezése	volt
volt	.
.	A
A	Horváth
Horváth	Jóska
Jóska	okozta
okozta	az
az	egészet
egészet	.
.	Jött
Jött	a
a	vihar
vihar	,
,	kévéket
kévéket	adogattam
adogattam	a
a	szekérre
szekérre	,
,	füstölgött
füstölgött	már
már	a
a	Ság-hegy
Ság-hegy	,
,	aztán
aztán	sötét
sötét	rojtú
rojtú	függöny
függöny	mögé
mögé	került
került	tájaival
tájaival	.
.	Jól
Jól	tudtam
tudtam	,
,	még
még	egy
egy	búzakeresztet
búzakeresztet	föladogatok
föladogatok	,
,	és
és	nyakunkon
nyakunkon	a
a	víz
víz	.
.	"
"	Csak
Csak	még
még	egy
egy	keresztet
keresztet	!
!	Csak
Csak	még
még	egy
egy	keresztet
keresztet	!
!	"
"	-
-	hallottam
hallottam	fölülrõl
fölülrõl	,
,	aztán
aztán	a
a	szekeret
szekeret	is
is	lekötöztette
lekötöztette	velem
velem	a
a	jégverésben
jégverésben	.
.	A
A	kévék
kévék	eresze
eresze	alatt
alatt	összegörnyedve
összegörnyedve	hajtotta
hajtotta	a
a	lovakat
lovakat	,
,	ahogy
ahogy	épp
épp	mászni
mászni	tudott
tudott	.
.	Én
Én	meg
meg	rohantam
rohantam	a
a	legelsõ
legelsõ	ház
ház	felé
felé	.
.	"
"	Csapna
Csapna	a
a	szekeredbe
szekeredbe	a
a	villám
villám	Horváth
Horváth	Jóska
Jóska	!
!	"
"	-
-	kívántam
kívántam	gondolatban
gondolatban	kiabálva
kiabálva	.
.	Most
Most	szeretném
szeretném	ezt
ezt	a
a	repedezett
repedezett	földet
földet	,
,	ezeket
ezeket	a
a	szomorú
szomorú	virágokat
virágokat	akkori
akkori	dühömmel
dühömmel	megváltani
megváltani	.
.	KÖNYÖRGÉS
KÖNYÖRGÉS	A
A	SZÕLÕHEGYÉRT
SZÕLÕHEGYÉRT	Életem
Életem	elsõ
elsõ	hegye
hegye	keleten
keleten	zöldellt-feketéllett
zöldellt-feketéllett	a
a	virradatot
virradatot	késleltetve
késleltetve	,
,	ridegen
ridegen	havasodott
havasodott	,
,	s
s	a
a	ködben
ködben	hetekre
hetekre	eltûnt
eltûnt	.
.	Csúcsán
Csúcsán	a
a	kilátó
kilátó	gombja
gombja	,
,	az
az	elején
elején	,
,	északon
északon	tüskés
tüskés	,
,	száraz
száraz	rózsacsonk
rózsacsonk	:
:	a
a	vár
vár	,
,	oldalán
oldalán	az
az	évi
évi	szüretek
szüretek	pántlikája
pántlikája	.
.	Úgy
Úgy	tûnik
tûnik	,
,	ezt
ezt	a
a	pántlikát
pántlikát	kócmadzag
kócmadzag	váltotta
váltotta	föl
föl	végérvényesen
végérvényesen	,
,	kócmadzag
kócmadzag	,
,	néhol
néhol	színes
színes	pihékkel
pihékkel	.
.	A
A	szüretek
szüretek	ünnepébõl
ünnepébõl	az
az	õszi
õszi	vasárnapok
vasárnapok	csöndes
csöndes	családi
családi	dolga
dolga	lett
lett	.
.	Emberek
Emberek	helyett
helyett	seregélyek
seregélyek	zajonganak
zajonganak	meghatározott
meghatározott	napszakokon
napszakokon	.
.	Alul
Alul	,
,	az
az	elérhetõ
elérhetõ	helyeken
helyeken	új
új	,
,	villaszerû
villaszerû	présházak
présházak	épülnek
épülnek	,
,	de
de	ahol
ahol	az
az	utak
utak	járhatatlanok
járhatatlanok	,
,	a
a	hegy
hegy	derekától
derekától	ablaktalan
ablaktalan	épületek
épületek	omladoznak
omladoznak	,
,	lyukasak
lyukasak	a
a	tetõk
tetõk	,
,	a
a	szõlõk
szõlõk	gazosak
gazosak	,
,	korán
korán	sárgulók
sárgulók	,
,	fürtjeik
fürtjeik	olyan
olyan	csenevészek
csenevészek	,
,	hogy
hogy	függõnek
függõnek	illenek
illenek	a
a	gyerekfülekre
gyerekfülekre	.
.	A
A	Somlón
Somlón	,
,	elsõ
elsõ	és
és	felejthetetlen
felejthetetlen	hegyemen
hegyemen	,
,	a
a	"
"	térföldi
térföldi	remetén
remetén	"
"	,
,	költõk
költõk	és
és	õseim
õseim	legszentebb
legszentebb	munkáját
munkáját	legnagyobb
legnagyobb	örömeit
örömeit	adó
adó	bazaltján
bazaltján	évek
évek	óta
óta	hõköl
hõköl	visszafelé
visszafelé	a
a	kultúra
kultúra	a
a	vegetáció
vegetáció	embertelen
embertelen	állapotába
állapotába	.
.	Mint
Mint	ahogy
ahogy	a
a	magányos
magányos	ostordurrogtató
ostordurrogtató	a
a	seregélyeket
seregélyeket	fölrebbenti
fölrebbenti	,
,	de
de	elûzni
elûzni	nem
nem	tudja
tudja	,
,	ugyanúgy
ugyanúgy	már
már	nem
nem	változtatják
változtatják	meg
meg	a
a	szõlõmûvesek
szõlõmûvesek	a
a	teljesülni
teljesülni	akaró
akaró	romlást
romlást	,
,	csak
csak	parcelláikon
parcelláikon	állnak
állnak	ellen
ellen	,
,	akik
akik	még
még	tudnak
tudnak	.
.	Náluk
Náluk	nagyobb
nagyobb	hatalom
hatalom	segítsége
segítsége	kellene
kellene	.
.	A
A	déli
déli	részen
részen	,
,	ahol
ahol	a
a	világhírû
világhírû	bor
bor	terem
terem	,
,	parlagok
parlagok	,
,	jobb
jobb	esetben
esetben	kukoricások
kukoricások	sárgulnak
sárgulnak	a
a	szõlõk
szõlõk	között
között	.
.	Az
Az	utak
utak	még
még	a
a	rómaiak
rómaiak	korában
korában	is
is	jobbak
jobbak	lehettek
lehettek	,
,	a
a	múlt
múlt	századról
századról	nem
nem	is
is	beszélve
beszélve	,
,	hiszen
hiszen	nagy
nagy	présházakat
présházakat	építettek
építettek	a
a	hegy
hegy	eresze
eresze	alá
alá	,
,	s
s	most
most	se
se	szekérrel
szekérrel	,
,	se
se	autóval
autóval	,
,	csak
csak	helikopterrel
helikopterrel	lehetne
lehetne	õket
õket	megközelíteni
megközelíteni	.
.	Oka
Oka	ennek
ennek	az
az	a
a	bizonytalan
bizonytalan	húsz
húsz	év
év	,
,	amikor
amikor	úgy
úgy	érezték
érezték	a
a	gazdák
gazdák	,
,	el
el	kell
kell	szõlõiktõl
szõlõiktõl	búcsúzniok
búcsúzniok	,
,	s
s	nem
nem	újítottak
újítottak	,
,	csak
csak	elfogadták
elfogadták	az
az	öreg
öreg	tõkék
tõkék	gyümölcseit
gyümölcseit	.
.	Most
Most	már
már	biztosabbak
biztosabbak	,
,	de
de	súlyos
súlyos	beteget
beteget	kellene
kellene	meggyógyítani
meggyógyítani	.
.	Hova
Hova	lett
lett	a
a	gyógyító
gyógyító	bor
bor	,
,	a
a	régi
régi	huszár
huszár	kapitány
kapitány	versének
versének	igazsága
igazsága	,
,	az
az	,
,	hogy
hogy	:
:	"
"	Lehetnek
Lehetnek	bárkinek
bárkinek	bármilyen
bármilyen	bajai
bajai	,
,	elûzi
elûzi	azokat
azokat	jó
jó	pohár
pohár	somlai
somlai	.
.	"
"	A
A	hazai
hazai	és
és	a
a	világi
világi	hírnév
hírnév	?
?	Mert
Mert	ez
ez	a
a	bor
bor	az
az	egyetlen
egyetlen	,
,	amelyik
amelyik	tengeren
tengeren	is
is	szállítható
szállítható	,
,	nem
nem	törik
törik	meg
meg	,
,	megtartja
megtartja	fényét
fényét	.
.	Ki
Ki	emlékszik
emlékszik	még
még	rá
rá	,
,	milyen
milyen	az
az	igazi
igazi	?
?	Zöld
Zöld	,
,	savanykás
savanykás	,
,	hosszan
hosszan	itatja
itatja	magát
magát	,
,	s
s	hirtelen
hirtelen	támad
támad	,
,	de
de	nem
nem	szül
szül	haragot
haragot	,
,	inkább
inkább	nyugalomba
nyugalomba	dönt
dönt	.
.	Aki
Aki	a
a	kilátóban
kilátóban	megiszik
megiszik	egy
egy	litert
litert	,
,	a
a	hegy
hegy	lábáig
lábáig	is
is	leér
leér	egyensúlyának
egyensúlyának	legkisebb
legkisebb	zavara
zavara	nélkül
nélkül	,
,	csak
csak	azután
azután	kezd
kezd	énekelni
énekelni	magában
magában	egészen
egészen	hazáig
hazáig	.
.	Nagyot
Nagyot	alszik
alszik	,
,	de
de	nem
nem	lesz
lesz	másnapos
másnapos	,
,	ha
ha	valódit
valódit	ivott
ivott	,
,	bár
bár	a
a	valódi
valódi	mostanában
mostanában	a
a	Somlón
Somlón	is
is	egyre
egyre	kevesebb
kevesebb	.
.	Csak
Csak	az
az	irodalomtörténészek
irodalomtörténészek	fedezik
fedezik	fel
fel	régi
régi	jelentõségét
jelentõségét	,
,	ha
ha	Vörösmarty
Vörösmarty	és
és	Stettner
Stettner	György
György	pápai
pápai	professzor
professzor	levelezését
levelezését	olvassák
olvassák	,
,	mert
mert	hosszan
hosszan	tartó
tartó	kapcsolatukban
kapcsolatukban	alig
alig	fordul
fordul	elõ
elõ	,
,	hogy
hogy	a
a	somlai
somlai	bort
bort	ne
ne	említenék
említenék	.
.	"
"	Igen
Igen	sok
sok	örvendetes
örvendetes	dolgot
dolgot	akarok
akarok	írni
írni	.
.	Elõször
Elõször	azt
azt	,
,	hogy
hogy	somlai
somlai	borod
borod	igen
igen	hatalmas
hatalmas	kezd
kezd	lenni
lenni	,
,	s
s	ha
ha	ihatósága
ihatósága	veszedelmére
veszedelmére	nem
nem	lesz
lesz	,
,	csak
csak	egy
egy	év
év	múlva
múlva	is
is	dicsõ
dicsõ	ital
ital	kerül
kerül	belõle
belõle	.
.	Különösen
Különösen	szeretem
szeretem	tiszta
tiszta	íze
íze	s
s	kedves
kedves	illatjáért
illatjáért	.
.	Az
Az	istenért
istenért	,
,	viseld
viseld	gondját
gondját	a
a	magadénak
magadénak	,
,	hogy
hogy	sokáig
sokáig	ihassunk
ihassunk	belõle
belõle	.
.	Második
Második	öröm
öröm	volna
volna	az
az	Athenaeum
Athenaeum	és
és	a
a	Figyelmezõ
Figyelmezõ	cím
cím	alatt
alatt	megindítandó
megindítandó	folyóirat
folyóirat	...
...	"
"	"
"	Olyan
Olyan	nagy
nagy	munkálkodásban
munkálkodásban	vagyok
vagyok	,
,	hogy
hogy	szinte
szinte	elkéstem
elkéstem	a
a	levélírással
levélírással	,
,	attól
attól	félek
félek	,
,	hogy
hogy	azóta
azóta	tán
tán	el
el	is
is	harácsolódott
harácsolódott	a
a	bor
bor	.
.	Erre
Erre	nézve
nézve	röviden
röviden	csak
csak	azt
azt	írhatom
írhatom	,
,	hogy
hogy	a
a	bort
bort	mind
mind	megtartjuk
megtartjuk	:
:	az
az	Ágotaiak
Ágotaiak	4
4	akót
akót	,
,	Vachott
Vachott	Sándor
Sándor	2
2	akót
akót	,
,	Bajza
Bajza	1
1	akót
akót	,
,	s
s	ha
ha	jól
jól	emlékszem
emlékszem	,
,	Ötvös
Ötvös	is
is	kért
kért	.
.	"
"	"
"	Mióta
Mióta	somlai
somlai	bort
bort	szereztem
szereztem	általad
általad	,
,	valóságos
valóságos	martyr
martyr	vagyok
vagyok	.
